Rank,Country,Average income annually,monthly
1,Monaco,"186,080 $","15,507 $"
2,Liechtenstein,"116,300 $","9,692 $"
3,Norway,"82,330 $","6,861 $"
4,Switzerland,"81,240 $","6,770 $"
5,Luxembourg,"76,660 $","6,388 $"
6,Macau,"64,580 $","5,382 $"
7,Iceland,"56,990 $","4,749 $"
8,Denmark,"56,730 $","4,728 $"
9,United States,"56,180 $","4,682 $"
10,Sweden,"54,630 $","4,553 $"
11,Australia,"54,420 $","4,535 $"
12,Ireland,"52,560 $","4,380 $"
13,Singapore,"51,880 $","4,323 $"
14,Netherlands,"46,310 $","3,859 $"
15,Austria,"45,230 $","3,769 $"
16,Finland,"44,730 $","3,728 $"
17,Germany,"43,660 $","3,638 $"
18,Canada,"43,660 $","3,638 $"
19,Hong Kong,"43,240 $","3,603 $"
20,United Kingdom,"42,390 $","3,533 $"
21,Belgium,"41,860 $","3,488 $"
22,New Zealand,"39,070 $","3,256 $"
23,France,"38,950 $","3,246 $"
24,Japan,"38,000 $","3,167 $"
25,Israel,"36,190 $","3,016 $"
26,Italy,"31,590 $","2,633 $"
27,South Korea,"27,600 $","2,300 $"
28,Spain,"27,520 $","2,293 $"
29,Saudi Arabia,"21,750 $","1,813 $"
30,Slovenia,"21,660 $","1,805 $"
31,Portugal,"19,850 $","1,654 $"
32,Greenland,"19,290 $","1,608 $"
33,Greece,"18,960 $","1,580 $"
34,Estonia,"17,750 $","1,479 $"
35,Czech Republic,"17,570 $","1,464 $"
36,Slovakia,"16,810 $","1,401 $"
37,Lithuania,"14,770 $","1,231 $"
38,Chile,"13,530 $","1,128 $"
39,Poland,"12,680 $","1,057 $"
40,Hungary,"12,570 $","1,048 $"
41,Croatia,"12,110 $","1,009 $"
42,Argentina,"11,960 $",997 $
43,Venezuela,"11,760 $",980 $
44,Turkey,"11,180 $",932 $
45,Costa Rica,"10,840 $",903 $
46,Malaysia,"9,850 $",821 $
47,Russia,"9,720 $",810 $
48,Romania,"9,470 $",789 $
49,Mexico,"9,040 $",753 $
50,Brazil,"8,840 $",737 $
51,Kazakhstan,"8,710 $",726 $
52,China,"8,260 $",688 $
53,Bulgaria,"7,470 $",623 $
54,Montenegro,"6,970 $",581 $
55,Cuba,"6,570 $",548 $
56,Equatorial Guinea,"6,550 $",546 $
57,Iran,"6,530 $",544 $
58,Colombia,"6,320 $",527 $
59,Peru,"5,950 $",496 $
60,Thailand,"5,640 $",470 $
61,Belarus,"5,600 $",467 $
62,South Africa,"5,480 $",457 $
63,Serbia,"5,280 $",440 $
64,Macedonia,"4,980 $",415 $
65,Bosnia and Herzegovina,"4,880 $",407 $
66,Albania,"4,250 $",354 $
67,Kosovo,"3,850 $",321 $
68,Sri Lanka,"3,780 $",315 $
69,Philippines,"3,580 $",298 $
70,Egypt,"3,460 $",288 $
71,Indonesia,"3,400 $",283 $
72,Bolivia,"3,070 $",256 $
73,Morocco,"2,850 $",238 $
74,Nigeria,"2,450 $",204 $
75,Ukraine,"2,310 $",193 $
76,Moldova,"2,120 $",177 $
77,Vietnam,"2,050 $",171 $
78,Syria,"1,840 $",153 $
79,India,"1,680 $",140 $
80,Pakistan,"1,510 $",126 $
81,Kenya,"1,380 $",115 $
82,Ghana,"1,380 $",115 $
83,Bangladesh,"1,330 $",111 $
84,Burma,"1,190 $",99 $
85,Nepal,730 $,61 $
86,Ethiopia,660 $,55 $
87,Afghanistan,580 $,48 $
88,Democratic Republic of the Congo,420 $,35 $
89,Madagascar,400 $,33 $
